file,time,id,a,b
g80sh-baseline-0919.etl,2026-09-19 17:08:53.246906,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.247160,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.247160,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.248063,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.248131,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.261543,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.261589,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.336747,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.336851,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.336854,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.336907,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.408543,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:53.409297,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.263446,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.512878,810,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.512890,811,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.512899,220,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.512951,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.513055,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.513175,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.513280,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.513357,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.513998,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.514037,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.515219,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.515294,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520095,222,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520150,220,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520152,222,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520157,220,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520158,222,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520162,220,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520163,222,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520167,220,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520168,222,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520172,220,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520173,222,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520177,220,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520177,222,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520182,220,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520186,222,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520191,220,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.520193,222,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.523868,10011,"4","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.524049,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.524093,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.524100,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.524103,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.524146,807,"\Driver\monitor","DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.528554,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.528632,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.529046,220,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.529049,222,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.529322,10011,"12","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.548908,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.548973,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.549025,10011,"5","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550396,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550449,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550590,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550648,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550650,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550703,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550705,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550783,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550797,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.550874,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.556428,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.556430,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.556463,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.556717,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.557155,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.557287,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.559073,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.559154,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560293,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560364,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560366,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560427,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560429,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560491,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560498,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.560561,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.561121,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.561176,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.565543,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.565623,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.576322,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.576992,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:56.578615,10011,"4","0"
